ticker,date,stage,drug
AGRX,12/26/2017,PDUFA,Twirla
VRX,12/27/2017,PDUFA,Luminesse
AEZS,12/30/2017,PDUFA,Macimorelin Acetate - Macrilen
ABBV,12/31/2017,Phase 2b,Risankizumab
BIIB,12/31/2017,Phase 2,BAN2401 (Aβ mAb)
BPTH,12/31/2017,Phase 2,Prexigebersen
CALA,12/31/2017,Phase 2,CB-839 with paclitaxel
CELG,12/31/2017,Phase 3,REVLIMID - RELEVANCE
CELG,12/31/2017,Phase 2,OTEZLA
CELG,12/31/2017,Phase 2,GED-0301
DCTH,12/31/2017,Phase 3,Melphalan Hepatic Delivery System (Melphalan HDS)
EDGE,12/31/2017,Phase 3,EG-1962
GILD,12/31/2017,Phase 2,GS-9674
KALA,12/31/2017,Phase 3,INVELTYS
KALA,12/31/2017,Phase 3,INVELTYS
MLNT,12/31/2017,Phase 2/3,Taksta - Fusidic acid
MRK,12/31/2017,PDUFA,Ertugliflozin
MRSN,12/31/2017,Phase 1,XMT1522
NLNK,12/31/2017,Phase 2,Indoximod + gemcitabine and nab-paclitaxel
NVAX,12/31/2017,Phase 1/2,NanoFlu vaccine
OCRX,12/31/2017,Phase 2a,OCR-002
OGEN,12/31/2017,Phase 2,AG013
PFE,12/31/2017,Phase 3,Ertugliflozin
PFE,12/31/2017,PDUFA priority review,BOSULIF
PHMMF,12/31/2017,Phase 3,Zepsyre(PM1183)
RDUS,12/31/2017,Phase 2b,Elacestrant
RGNX,12/31/2017,Phase 1/2,RGX-501
RNN,12/31/2017,Phase 2a,Supinoxin
RNN,12/31/2017,Phase 2,RX-3117
RNN,12/31/2017,Phase 2a,Archexin
RVNC,12/31/2017,Phase 2,RT002
RXII,12/31/2017,Phase 2,RXI-109-1402
RXII,12/31/2017,Phase 2,Samcyprone - RXI-SCP-1502
SAGE,12/31/2017,Phase 2,SAGE-217
TCON,12/31/2017,Phase 2,TRC105
VNDA,12/31/2017,Phase 2,HETLIOZ (tasimelteon)
EIGR,01/08/2018,Phase 2,Ubenimex - LIBERTY
BOLD,01/10/2018,Phase 1/2,AT132 - ASPIRO
LLY,01/10/2018,PDUFA priority review,Abemaciclib - MONARCH 1 and 2
LPCN,01/10/2018,PDUFA,LPCN 1021
ARDM,01/11/2018,PDUFA priority review,Linhaliq (Pulmaquin)
ONCE,01/12/2018,PDUFA priority review,Luxturna (voretigene neparvovec)
AXSM,01/15/2018,Phase 3,AXS-02 CREATE-1
AXSM,01/15/2018,Phase 3,AXS-02 COAST-1
BLRX,01/18/2018,Phase 2,BL-8040 in combination with KEYTRUDA - COMBAT trial
EXEL,01/19/2018,Phase 3,XL184 cabozantinib (CELESTIAL)
SGYP,01/24/2018,PDUFA,Trulance (plecanatide)
BYSI,01/25/2018,Phase 2/3,Plinabulin (Trial 105)
AAAP,01/26/2018,PDUFA,Lutathera
SCMP,01/28/2018,PDUFA,Lubiprostone
AST,01/31/2018,Phase 1/2,AST-OPC1 SCiSTAR
AXON,01/31/2018,Phase 2,Intepirdine
AXON,01/31/2018,Phase 2b,Intepirdine - HEADWAY-DLB
AXON,01/31/2018,Phase 2,Nelotanserin
KDMN,01/31/2018,Phase 2,KD025
XLRN,01/31/2018,Phase 2,ACE-083
AMAG,02/02/2018,PDUFA,Feraheme
PTLA,02/02/2018,PDUFA,Andexanet alfa
AMGN,02/03/2018,PDUFA,XGEVA
AVEO,02/08/2018,Phase 1/2,Tivozanib + Opdivo
GILD,02/12/2018,PDUFA priority review,Bictegravir/F/TAF
AMAG,02/14/2018,PDUFA,Makena - auto injector
ATRS,02/14/2018,PDUFA,Makena - auto injector
PCRX,02/14/2018,PDUFA,EXPAREL
EXEL,02/15/2018,PDUFA priority review,Cabozantinib - CABOSUN
KURA,02/15/2018,Phase 2,Tipifarnib
APRI,02/17/2018,PDUFA,Vitaros
KMPH,02/23/2018,PDUFA,KP201/APAP
AERI,02/28/2018,PDUFA,Rhopressa
AZN,02/28/2018,PDUFA priority review,Lynparza
CRMD,02/28/2018,Phase 3,Neutrolin - LOCK-IT 100
LJPC,02/28/2018,PDUFA priority review,LJPC-501
MDGL,02/28/2018,Phase 2,MGL-3196
MRK,02/28/2018,PDUFA priority review,Lynparza
MRNS,02/28/2018,Phase 2,Ganaxolone
ONTX,02/28/2018,Phase 3,IV Rigosertib - INSPIRE
RXII,02/28/2018,Phase 1/2,RXI-109-1501
SRNE,02/28/2018,PDUFA,ZTlido (lidocaine patch 1.8%)
VRTX,02/28/2018,PDUFA priority review,Tezacaftor (VX-661) / ivacaftor
OTIC,03/02/2018,PDUFA,OTIPRIO
