price,ticker,end_date,drug,stage,date_text
0.12,BPMX,01/12/2018,BPX-04,Phase 1/2,January 12-17;
16.00,EIGR,01/16/2018,Ubenimex - LIBERTY,Phase 2,Mid-late January 2018;
1.16,BLRX,01/19/2018,BL-8040 in combination with KEYTRUDA - COMBAT trial,Phase 2,
30.38,EXEL,01/19/2018,XL184 cabozantinib (CELESTIAL),Phase 3,
2.90,TCON,01/19/2018,TRC105 and Nexavar,Phase 2,
2.39,SGYP,01/24/2018,Trulance (plecanatide),PDUFA,
81.84,AAAP,01/26/2018,Lutathera,PDUFA,
2.26,ARDM,01/26/2018,Linhaliq (Pulmaquin),PDUFA priority review,
4.23,KDMN,01/31/2018,KD025,Phase 2,January 2018;
3.19,PHMMF,01/31/2018,Zepsyre(PM1183),Phase 3,January 2018;
14.40,AMAG,02/02/2018,Feraheme,PDUFA,
3.10,AVEO,02/08/2018,Tivozanib + Opdivo,Phase 1/2,"February 8-10, 2018;"
2.90,TCON,02/10/2018,DE-122 and Lucentis - AVANTE,Phase 2,
79.02,GILD,02/12/2018,Bictegravir/F/TAF,PDUFA priority review,
23.84,VRX,02/13/2018,Plenvu (NER1006),PDUFA,
14.40,AMAG,02/14/2018,Makena - auto injector,PDUFA,
2.28,ATRS,02/14/2018,Makena - auto injector,PDUFA,
41.50,PCRX,02/14/2018,EXPAREL,PDUFA,Adcom 2/14/18; PDUFA 4/6/18;
16.05,KURA,02/15/2018,Tipifarnib,Phase 2,"February 15-17, 2018;"
2.74,APRI,02/17/2018,Vitaros,PDUFA,
0.60,IMNP,02/17/2018,Bertilimumab,Phase 2,
5.00,KMPH,02/23/2018,KP201/APAP,PDUFA,
39.43,AIMT,02/28/2018,AR101 PALISADE,Phase 3,February 2018;
2.45,AST,02/28/2018,AST-OPC1 SCiSTAR,Phase 1/2,February 2018;
0.53,CRMD,02/28/2018,Neutrolin - LOCK-IT 100,Phase 3,Early 2018;
107.00,MDGL,02/28/2018,MGL-3196,Phase 2,Early 2018;
7.34,MRNS,02/28/2018,Ganaxolone,Phase 2,Early 2018;
1.61,NVAX,02/28/2018,NanoFlu vaccine,Phase 1/2,Feb 2018;
1.83,ONTX,02/28/2018,IV Rigosertib - INSPIRE,Phase 3,Late 2017/early 2018;
4.29,RXII,02/28/2018,RXI-109-1501,Phase 1/2,Early 2018;
4.95,SRNE,02/28/2018,ZTlido (lidocaine patch 1.8%),PDUFA,
3.25,SRRA,02/28/2018,SRA737,Phase 1,February 2018;
157.93,VRTX,02/28/2018,Tezacaftor (VX-661) / ivacaftor,PDUFA priority review,
5.85,OTIC,03/02/2018,OTIPRIO,PDUFA,
62.81,BMY,03/05/2018,Opdivo -  4 week applications,PDUFA,
335.95,BIIB,03/30/2018,Natalizumab (α4-integrin inhibitor),Phase 2b,Early-2018;
1.65,ABIO,03/31/2018,Gencaro - GENETIC-AF trial,Phase 2b,March 2018;
