drug,ticker,stage,end_date,date_text,price
Trulance (plecanatide),SGYP,PDUFA,01/24/2018,,2.40
Plinabulin (Trial 105),BYSI,Phase 2/3,01/25/2018,,25.97
Lutathera,AAAP,PDUFA,01/26/2018,,81.99
Linhaliq (Pulmaquin),ARDM,PDUFA priority review,01/26/2018,,2.29
KD025,KDMN,Phase 2,01/31/2018,January 2018;,4.88
Feraheme,AMAG,PDUFA,02/02/2018,,13.85
Tivozanib + Opdivo,AVEO,Phase 1/2,02/08/2018,"February 8-10, 2018;",2.93
DE-122 and Lucentis - AVANTE,TCON,Phase 2,02/10/2018,,2.80
Bictegravir/F/TAF,GILD,PDUFA priority review,02/12/2018,,80.98
Plenvu (NER1006),VRX,PDUFA,02/13/2018,,21.52
Makena - auto injector,AMAG,PDUFA,02/14/2018,,13.85
Makena - auto injector,ATRS,PDUFA,02/14/2018,,2.25
EXPAREL,PCRX,PDUFA,02/14/2018,Adcom 2/14/18; PDUFA 4/6/18;,38.75
Tipifarnib,KURA,Phase 2,02/15/2018,"February 15-17, 2018;",17.80
Vitaros,APRI,PDUFA,02/17/2018,,2.65
Bertilimumab,IMNP,Phase 2,02/17/2018,,0.59
KP201/APAP,KMPH,PDUFA,02/23/2018,,5.66
AR101 PALISADE,AIMT,Phase 3,02/28/2018,February 2018;,38.90
AST-OPC1 SCiSTAR,AST,Phase 1/2,02/28/2018,February 2018;,2.40
Neutrolin - LOCK-IT 100,CRMD,Phase 3,02/28/2018,Early 2018;,0.49
MGL-3196,MDGL,Phase 2,02/28/2018,Early 2018;,124.59
Ganaxolone,MRNS,Phase 2,02/28/2018,Early 2018;,6.83
NanoFlu vaccine,NVAX,Phase 1/2,02/28/2018,Feb 2018;,1.97
RXI-109-1501,RXII,Phase 1/2,02/28/2018,Early 2018;,4.42
ZTlido (lidocaine patch 1.8%),SRNE,PDUFA,02/28/2018,,6.40
SRA737,SRRA,Phase 1,02/28/2018,February 2018;,3.19
Tezacaftor (VX-661) / ivacaftor,VRTX,PDUFA priority review,02/28/2018,,157.97
OTIPRIO,OTIC,PDUFA,03/02/2018,,5.68
Opdivo -  4 week applications,BMY,PDUFA,03/05/2018,,62.28
Xeljanz,PFE,PDUFA,03/08/2018,,36.94
Natalizumab (α4-integrin inhibitor),BIIB,Phase 2b,03/30/2018,Early-2018;,342.41
Gencaro - GENETIC-AF trial,ABIO,Phase 2b,03/31/2018,March 2018;,1.60
Tozadenant,ACOR,Phase 3,03/31/2018,1Q 2018;,27.20
NasoVAX,ALT,Phase 1/2,03/31/2018,1Q 2018;,1.82
ANB020,ANAB,Phase 2a,03/31/2018,1Q 2018;,114.91
Sollpura - RESULT,ANTH,Phase 3,03/31/2018,1Q 2018;,1.28
APD371,ARNA,Phase 2,03/31/2018,1Q or 2Q 2018;,35.60
Etrasimod,ARNA,Phase 2,03/31/2018,1Q 2018;,35.60
Rimegepant,BHVN,Phase 3,03/31/2018,1Q 2018;,31.24
Prexigebersen,BPTH,Phase 2,03/31/2018,Early 2018;,0.22
CB 2679d/ ISU304,CBIO,Phase 1/2,03/31/2018,Early 2018;,19.49
Rezafungin (CD101) IV - STRIVE,CDTX,Phase 2,03/31/2018,1Q 2018;,7.30
REVLIMID - AUGMENT NHL-007,CELG,Phase 3,03/31/2018,1Q 2018;,102.65
OTEZLA,CELG,Phase 2,03/31/2018,1Q 2018;,102.65
Suprachoroidal CLS-TA - PEACHTREE,CLSD,Phase 3,03/31/2018,1Q 2018;,6.44
CORT125134,CORT,Phase 2,03/31/2018,1Q 2018;,23.98
CK-2127107,CYTK,Phase 2,03/31/2018,1Q 2018;,9.60
Olumacostat glasaretil (DRM01),DERM,Phase 3,03/31/2018,1Q 2018;,28.21
Keyzilen (AM-101) - TACTT3,EARS,Phase 3,03/31/2018,1Q 2018 - likely February;,0.50
EG-1962,EDGE,Phase 3,03/31/2018,1Q 2018;,12.40
Bempedoic Acid - 1002-039,ESPR,Phase 2,03/31/2018,1Q 2018;,77.20
"Bempedoic acid - CLEAR LDL-C Lowering Program 1002-046, 1002-047 and 1002-048",ESPR,Phase 3,03/31/2018,"March, May and September 2018;",77.20
EGP-437,EYEG,Phase 2b,03/31/2018,1Q 2018.;,1.19
FLX-787 (Aust),FLKS,Phase 2,03/31/2018,1Q 2018;,3.85
NeuVax in combination with Herceptin,GALE,Phase 2b,03/31/2018,1Q 2018;,0.26
Imetelstat - IMbarkStudy,GERN,Phase 2,03/31/2018,1Q 2018;,1.92
GS-9674,GILD,Phase 2,03/31/2018,1Q 2018;,80.98
GS-5745,GILD,Phase 3,03/31/2018,1Q 2018;,80.98
GS-9674,GILD,Phase 2,03/31/2018,1Q 2018;,80.98
Entospletinib,GILD,Phase 2,03/31/2018,1Q 2018;,80.98
Aramchol - ARRIVE,GLMD,Phase 2,03/31/2018,1Q 2018;,10.57
Dolutegravir + lamivudine (GEMINI 2),GSK,Phase 3,03/31/2018,1Q 2018;,38.20
Dolutegravir + lamivudine (GEMINI 1),GSK,Phase 3,03/31/2018,1Q 2018;,38.20
Trilaciclib,GTHX,Phase 2,03/31/2018,1Q 2018;,26.34
Epidiolex,GWPH,Phase 3,03/31/2018,1Q 2018;,132.42
GWP42006 (CBDV),GWPH,Phase 2,03/31/2018,1Q 2018;,132.42
