price,end_date,stage,date_text,ticker,drug
2.24,01/26/2018,PDUFA priority review,,ARDM,Linhaliq (Pulmaquin)
1.59,01/29/2018,Phase 2,1H 2019;,VTGN,AV-101
4.98,01/31/2018,Phase 2,January 2018;,KDMN,KD025
12.35,02/01/2018,Phase 2a,,TGTX,TG-1101 (ublituximab)
14.45,02/02/2018,PDUFA,,AMAG,Feraheme
3.02,02/08/2018,Phase 1/2,"February 8-10, 2018;",AVEO,Tivozanib + Opdivo
16.20,02/08/2018,Phase 1/2,,FOLD,ATB200
145.33,02/08/2018,PDUFA priority review,,JNJ,Apalutamide
145.33,02/08/2018,PDUFA,"February 8/9, 2018;",JNJ,ZYTIGA (abiraterone acetate) - LATITUDE
145.33,02/09/2018,Phase 2,"February 9, 2018;",JNJ,Erdafitinib
2.95,02/10/2018,Phase 2,,TCON,DE-122 and Lucentis - AVANTE
85.46,02/12/2018,PDUFA priority review,,GILD,Bictegravir/F/TAF
19.32,02/13/2018,PDUFA,,VRX,Plenvu (NER1006)
14.45,02/14/2018,PDUFA,,AMAG,Makena - auto injector
2.26,02/14/2018,PDUFA,,ATRS,Makena - auto injector
105.17,02/14/2018,Phase 2,"February 14-17, 2018;",CELG,OTEZLA
40.20,02/14/2018,PDUFA,Adcom 2/14/18; PDUFA 4/6/18;,PCRX,EXPAREL
19.95,02/15/2018,Phase 2,"February 15-17, 2018;",KURA,Tipifarnib
2.32,02/17/2018,PDUFA,,APRI,Vitaros
0.60,02/17/2018,Phase 2,,IMNP,Bertilimumab
5.75,02/23/2018,PDUFA,,KMPH,KP201/APAP
37.13,02/28/2018,Phase 3,February 2018;,AIMT,AR101 PALISADE
2.30,02/28/2018,Phase 1/2,February 2018;,AST,AST-OPC1 SCiSTAR
0.47,02/28/2018,Phase 3,Early 2018;,CRMD,Neutrolin - LOCK-IT 100
121.80,02/28/2018,Phase 2,Early 2018;,MDGL,MGL-3196
7.68,02/28/2018,Phase 2,Early 2018;,MRNS,Ganaxolone
2.09,02/28/2018,Phase 1/2,Feb 2018;,NVAX,NanoFlu vaccine
4.05,02/28/2018,Phase 1/2,Early 2018;,RXII,RXI-109-1501
7.75,02/28/2018,PDUFA,,SRNE,ZTlido (lidocaine patch 1.8%)
3.44,02/28/2018,Phase 1,February 2018;,SRRA,SRA737
169.21,02/28/2018,PDUFA priority review,,VRTX,Tezacaftor (VX-661) / ivacaftor
52.95,03/01/2018,Phase 1/2,"February 26-March 1, 2018;",IONS,IONIS-HTT Rx
5.85,03/02/2018,PDUFA,,OTIC,OTIPRIO
64.25,03/05/2018,PDUFA,,BMY,Opdivo -  4 week applications
39.01,03/08/2018,PDUFA,,PFE,Xeljanz
374.36,03/10/2018,Phase 3,,REGN,Praluent (alirocumab) ODYSSEY OUTCOMES
0.00,03/11/2018,Phase 1,"March 11-14, 2018;",SYBX,SYNB1020
6.72,03/19/2018,Phase 2,,SLS,Galinpepimut-S
367.91,03/30/2018,Phase 2b,Early-2018;,BIIB,Natalizumab (α4-integrin inhibitor)
169.21,03/30/2018,Phase 2,Early 2018;,VRTX,VX-445 in combination with tezacaftor and ivacaftor
169.21,03/30/2018,Phase 2,Early 2018;,VRTX,VX-659 in combination with tezacaftor and ivacaftor
