ticker,end_date,stage,price,drug,date_text
AMAG,02/02/2018,PDUFA,14.30,Feraheme,
AVEO,02/08/2018,Phase 1/2,2.99,Tivozanib + Opdivo,"February 8-10, 2018;"
FOLD,02/08/2018,Phase 1/2,16.40,ATB200,
JNJ,02/08/2018,PDUFA priority review,137.68,Apalutamide,
JNJ,02/08/2018,PDUFA,137.68,ZYTIGA (abiraterone acetate) - LATITUDE,"February 8/9, 2018;"
CBIO,02/09/2018,Phase 1/2,25.27,CB 2679d/ ISU304,
JNJ,02/09/2018,Phase 2,137.68,Erdafitinib,"February 9, 2018;"
TCON,02/10/2018,Phase 2,2.80,DE-122 and Lucentis - AVANTE,
GILD,02/12/2018,PDUFA priority review,81.73,Bictegravir/F/TAF,
VRX,02/13/2018,PDUFA,18.00,Plenvu (NER1006),
AMAG,02/14/2018,PDUFA,14.30,Makena - auto injector,
ATRS,02/14/2018,PDUFA,2.00,Makena - auto injector,
CELG,02/14/2018,Phase 2,99.80,OTEZLA,"February 14-17, 2018;"
PCRX,02/14/2018,PDUFA,38.50,EXPAREL,Adcom 2/14/18; PDUFA 4/6/18;
KURA,02/15/2018,Phase 2,19.80,Tipifarnib,"February 15-17, 2018;"
APRI,02/17/2018,PDUFA,2.22,Vitaros,
IMNP,02/17/2018,Phase 2,0.47,Bertilimumab,
KMPH,02/23/2018,PDUFA,6.35,KP201/APAP,
AIMT,02/28/2018,Phase 3,36.18,AR101 PALISADE,February 2018;
AST,02/28/2018,Phase 1/2,2.00,AST-OPC1 SCiSTAR,February 2018;
CRMD,02/28/2018,Phase 3,0.46,Neutrolin - LOCK-IT 100,Early 2018;
HTBX,02/28/2018,Phase 2,3.23,HS-110 and nivolumab (Opdivo),
KDMN,02/28/2018,Phase 2,5.14,KD025,February 2018;
MDGL,02/28/2018,Phase 2,147.99,MGL-3196,Early 2018;
MRNS,02/28/2018,Phase 2,6.92,Ganaxolone,Early 2018;
NVAX,02/28/2018,Phase 1/2,2.00,NanoFlu vaccine,Feb 2018;
RXII,02/28/2018,Phase 1/2,3.94,RXI-109-1501,Early 2018;
SRNE,02/28/2018,PDUFA,7.65,ZTlido (lidocaine patch 1.8%),
SRRA,02/28/2018,Phase 1,2.75,SRA737,February 2018;
VRTX,02/28/2018,PDUFA priority review,166.24,Tezacaftor (VX-661) / ivacaftor,
IONS,03/01/2018,Phase 1/2,51.11,IONIS-HTT Rx,"February 26-March 1, 2018;"
OTIC,03/02/2018,PDUFA,5.40,OTIPRIO,
BMY,03/05/2018,PDUFA,63.48,Opdivo -  4 week applications,
PFE,03/08/2018,PDUFA,36.61,Xeljanz,
REGN,03/10/2018,Phase 3,347.86,Praluent (alirocumab) ODYSSEY OUTCOMES,
SYBX,03/11/2018,Phase 1,9.80,SYNB1020,"March 11-14, 2018;"
SLS,03/19/2018,Phase 2,5.93,Galinpepimut-S,
AMGN,03/29/2018,PDUFA,187.01,BLINCYTO,
BIIB,03/30/2018,Phase 2b,343.83,Natalizumab (α4-integrin inhibitor),Early-2018;
ABIO,03/31/2018,Phase 2b,1.68,Gencaro - GENETIC-AF trial,March 2018;
ACOR,03/31/2018,Phase 3,25.30,Tozadenant,1Q 2018;
ALT,03/31/2018,Phase 1/2,1.56,NasoVAX,1Q 2018;
ANAB,03/31/2018,Phase 2a,104.81,ANB020,1Q 2018;
ANTH,03/31/2018,Phase 3,1.56,Sollpura - RESULT,1Q 2018;
ARMO,03/31/2018,Phase 3,33.32,AM0010 (PEG-IL-10),Early 2018;
ARNA,03/31/2018,Phase 2,39.13,APD371,1Q or 2Q 2018;
ARNA,03/31/2018,Phase 2,39.13,Etrasimod,1Q 2018;
BHVN,03/31/2018,Phase 3,32.06,Rimegepant,1Q 2018;
BPTH,03/31/2018,Phase 2,0.19,Prexigebersen,Early 2018;
CDTX,03/31/2018,Phase 2,6.90,Rezafungin (CD101) IV - STRIVE,1Q 2018;
CLSD,03/31/2018,Phase 3,6.16,Suprachoroidal CLS-TA - PEACHTREE,1Q 2018;
CORT,03/31/2018,Phase 2,23.46,CORT125134,1Q 2018;
CYTK,03/31/2018,Phase 2,8.65,CK-2127107,1Q 2018;
DERM,03/31/2018,Phase 3,27.80,Olumacostat glasaretil (DRM01),1Q 2018;
EARS,03/31/2018,Phase 3,0.34,Keyzilen (AM-101) - TACTT3,1Q 2018 - likely February;
EDGE,03/31/2018,Phase 3,12.85,EG-1962,1Q 2018;
ESPR,03/31/2018,Phase 2,70.46,Bempedoic Acid - 1002-039,1Q 2018;
ESPR,03/31/2018,Phase 3,70.46,"Bempedoic acid - CLEAR LDL-C Lowering Program 1002-046, 1002-047 and 1002-048","March, May and September 2018;"
EYEG,03/31/2018,Phase 2b,1.03,EGP-437,1Q 2018.;
FLKS,03/31/2018,Phase 2,3.83,FLX-787 (Aust),1Q 2018;
GERN,03/31/2018,Phase 2,2.51,Imetelstat - IMbarkStudy,1Q 2018;
GILD,03/31/2018,Phase 2,81.73,GS-9674,1Q 2018;
GILD,03/31/2018,Phase 3,81.73,GS-5745,1Q 2018;
GILD,03/31/2018,Phase 2,81.73,GS-9674,1Q 2018;
GILD,03/31/2018,Phase 2,81.73,Entospletinib,1Q 2018;
GLMD,03/31/2018,Phase 2,10.18,Aramchol - ARRIVE,1Q 2018;
GSK,03/31/2018,Phase 3,37.10,Dolutegravir + lamivudine (GEMINI 2),1Q 2018;
GSK,03/31/2018,Phase 3,37.10,Dolutegravir + lamivudine (GEMINI 1),1Q 2018;
GTHX,03/31/2018,Phase 2,22.97,Trilaciclib,1Q 2018;
GWPH,03/31/2018,Phase 3,133.30,Epidiolex,1Q 2018;
GWPH,03/31/2018,Phase 2,133.30,GWP42006 (CBDV),1Q 2018;
IMGN,03/31/2018,Phase 1/2,9.76,Mirvetuximab soravtansine - FORWARD II,1Q 2018;
IMGN,03/31/2018,Phase 3,9.76,Mirvetuximab soravtansine - FORWARD I,1Q 2018;
