date_text,stage,ticker,price,end_date,drug
,Phase 2,TCON,2.90,02/10/2018,DE-122 and Lucentis - AVANTE
,PDUFA,AMAG,12.95,02/14/2018,Makena - auto injector
,PDUFA,ATRS,2.06,02/14/2018,Makena - auto injector
"February 14-17, 2018;",Phase 2,CELG,92.51,02/14/2018,OTEZLA
Adcom 2/14/18; PDUFA 4/6/18;,PDUFA,PCRX,37.40,02/14/2018,EXPAREL
"February 15-17, 2018;",Phase 2,KURA,19.00,02/15/2018,Tipifarnib
,PDUFA,APRI,2.31,02/17/2018,Vitaros
,Phase 2,IMNP,0.53,02/17/2018,Bertilimumab
,PDUFA,KMPH,5.75,02/23/2018,KP201/APAP
February 2018;,Phase 3,AIMT,38.68,02/28/2018,AR101 PALISADE
February 2018;,Phase 1/2,AST,1.95,02/28/2018,AST-OPC1 SCiSTAR
Early 2018;,Phase 3,CRMD,0.44,02/28/2018,Neutrolin - LOCK-IT 100
,Phase 2,HTBX,2.61,02/28/2018,HS-110 and nivolumab (Opdivo)
February 2018;,Phase 2,KDMN,4.79,02/28/2018,KD025
Early 2018;,Phase 2,MRNS,6.01,02/28/2018,Ganaxolone
Feb 2018;,Phase 1/2,NVAX,1.98,02/28/2018,NanoFlu vaccine
Early 2018;,Phase 1/2,RXII,3.12,02/28/2018,RXI-109-1501
,PDUFA,SRNE,6.80,02/28/2018,ZTlido (lidocaine patch 1.8%)
February 2018;,Phase 1,SRRA,2.74,02/28/2018,SRA737
,PDUFA priority review,VRTX,152.96,02/28/2018,Tezacaftor (VX-661) / ivacaftor
"February 26-March 1, 2018;",Phase 1/2,IONS,46.75,03/01/2018,IONIS-HTT Rx
,PDUFA,OTIC,5.30,03/02/2018,OTIPRIO
,PDUFA,BMY,62.70,03/05/2018,Opdivo -  4 week applications
,PDUFA,PFE,34.16,03/08/2018,Xeljanz
,Phase 3,REGN,336.38,03/10/2018,Praluent (alirocumab) ODYSSEY OUTCOMES
"March 11-14, 2018;",Phase 1,SYBX,9.54,03/11/2018,SYNB1020
,Phase 2,SLS,5.26,03/19/2018,Galinpepimut-S
"March 24-27, 2018;",Phase 1b,IMGN,8.91,03/24/2018,Mirvetuximab soravtansine - FORWARD II
,PDUFA,AMGN,173.46,03/29/2018,BLINCYTO
March 2018;,Phase 2b,ABIO,1.60,03/31/2018,Gencaro - GENETIC-AF trial
1Q 2018;,Phase 3,ACOR,24.05,03/31/2018,Tozadenant
1Q 2018;,Phase 1/2,ALT,1.56,03/31/2018,NasoVAX
1Q 2018;,Phase 2a,ANAB,104.33,03/31/2018,ANB020
1Q 2018;,Phase 3,ANTH,1.56,03/31/2018,Sollpura - RESULT
Early 2018;,Phase 3,ARMO,38.30,03/31/2018,AM0010 (PEG-IL-10)
1Q or 2Q 2018;,Phase 2,ARNA,39.71,03/31/2018,APD371
1Q 2018;,Phase 2,ARNA,39.71,03/31/2018,Etrasimod
1Q 2018;,Phase 3,BHVN,29.71,03/31/2018,Rimegepant
Early 2018;,Phase 2,BPTH,1.85,03/31/2018,Prexigebersen
1Q 2018;,Phase 2,CDTX,6.40,03/31/2018,Rezafungin (CD101) IV - STRIVE
1Q 2018;,Phase 3,CLSD,5.77,03/31/2018,Suprachoroidal CLS-TA - PEACHTREE
1Q 2018;,Phase 2,CORT,14.59,03/31/2018,CORT125134
