price,stage,end_date,drug,date_text,ticker
118.60,Phase 3,02/17/2018,Risankizumab,,ABBV
0.49,Phase 2,02/17/2018,Bertilimumab,,IMNP
3.44,Phase 3,02/17/2018,SB204,,NOVN
17.23,–,02/21/2018,HEPLISAV-B,,DVAX
5.80,PDUFA,02/23/2018,KP201/APAP,,KMPH
37.20,Phase 3,02/28/2018,AR101 PALISADE,February 2018;,AIMT
2.10,Phase 1/2,02/28/2018,AST-OPC1 SCiSTAR,February 2018;,AST
0.57,Phase 3,02/28/2018,Neutrolin - LOCK-IT 100,Early 2018;,CRMD
3.25,Phase 2,02/28/2018,HS-110 and nivolumab (Opdivo),,HTBX
6.22,Phase 2,02/28/2018,Ganaxolone,Early 2018;,MRNS
2.34,Phase 1/2,02/28/2018,NanoFlu vaccine,Feb 2018;,NVAX
3.22,Phase 1/2,02/28/2018,RXI-109-1501,Early 2018;,RXII
8.75,PDUFA,02/28/2018,ZTlido (lidocaine patch 1.8%),,SRNE
2.90,Phase 1,02/28/2018,SRA737,February 2018;,SRRA
50.05,Phase 1/2,03/01/2018,IONIS-HTT Rx,"February 26-March 1, 2018;",IONS
5.80,PDUFA,03/02/2018,OTIPRIO,,OTIC
68.96,PDUFA,03/05/2018,Opdivo -  4 week applications,,BMY
36.26,PDUFA,03/08/2018,Xeljanz,,PFE
332.15,Phase 3,03/10/2018,Praluent (alirocumab) ODYSSEY OUTCOMES,,REGN
12.39,Phase 2,03/11/2018,Aironite - INDIE,,SVRA
10.98,Phase 1,03/11/2018,SYNB1020,"March 11-14, 2018;",SYBX
5.50,Phase 2,03/19/2018,Galinpepimut-S,,SLS
11.27,Phase 1b,03/24/2018,Mirvetuximab soravtansine - FORWARD II,"March 24-27, 2018;",IMGN
183.55,PDUFA,03/29/2018,BLINCYTO,,AMGN
1.65,Phase 2b,03/31/2018,Gencaro - GENETIC-AF trial,March 2018;,ABIO
1.46,Phase 1/2,03/31/2018,NasoVAX,1Q 2018;,ALT
126.45,Phase 2a,03/31/2018,ANB020,1Q 2018;,ANAB
1.69,Phase 3,03/31/2018,Sollpura - RESULT,1Q 2018;,ANTH
53.65,Phase 3,03/31/2018,AM0010 (PEG-IL-10),Early 2018;,ARMO
40.80,Phase 2,03/31/2018,Etrasimod,1Q 2018;,ARNA
29.61,Phase 3,03/31/2018,Rimegepant,1Q 2018;,BHVN
1.58,Phase 2,03/31/2018,Prexigebersen,Early 2018;,BPTH
6.95,Phase 2,03/31/2018,Rezafungin (CD101) IV - STRIVE,1Q 2018;,CDTX
