price,end_date,stage,ticker,date_text,drug
15.22,02/26/2018,Phase 3,OBSV,,Nolasiban (OBE001) - IMPLANT2
2.20,02/28/2018,Phase 1/2,AST,February 2018;,AST-OPC1 SCiSTAR
0.32,02/28/2018,Phase 3,CRMD,Early 2018;,Neutrolin - LOCK-IT 100
2.60,02/28/2018,Phase 2,HTBX,,HS-110 and nivolumab (Opdivo)
5.67,02/28/2018,Phase 2,MRNS,Early 2018;,Ganaxolone
2.33,02/28/2018,Phase 1/2,NVAX,Feb 2018;,NanoFlu vaccine
3.34,02/28/2018,Phase 1/2,RXII,Early 2018;,RXI-109-1501
9.10,02/28/2018,PDUFA,SRNE,,ZTlido (lidocaine patch 1.8%)
2.98,02/28/2018,Phase 1,SRRA,February 2018;,SRA737
51.03,03/01/2018,Phase 1/2,IONS,"February 26-March 1, 2018;",IONIS-HTT Rx
5.90,03/02/2018,PDUFA,OTIC,,OTIPRIO
67.95,03/05/2018,PDUFA,BMY,,Opdivo -  4 week applications
36.26,03/08/2018,PDUFA,PFE,,Xeljanz
323.86,03/10/2018,Phase 3,REGN,,Praluent (alirocumab) ODYSSEY OUTCOMES
11.51,03/11/2018,Phase 2,SVRA,,Aironite - INDIE
12.12,03/11/2018,Phase 1,SYBX,"March 11-14, 2018;",SYNB1020
5.28,03/19/2018,Phase 2,SLS,,Galinpepimut-S
11.19,03/24/2018,Phase 1b,IMGN,"March 24-27, 2018;",Mirvetuximab soravtansine - FORWARD II
186.67,03/29/2018,PDUFA,AMGN,,BLINCYTO
1.60,03/31/2018,Phase 2b,ABIO,March 2018;,Gencaro - GENETIC-AF trial
1.52,03/31/2018,Phase 1/2,ALT,1Q 2018;,NasoVAX
123.12,03/31/2018,Phase 2a,ANAB,1Q 2018;,ANB020
2.40,03/31/2018,Phase 3,ANTH,1Q 2018;,Sollpura - RESULT
46.06,03/31/2018,Phase 3,ARMO,Early 2018;,AM0010 (PEG-IL-10)
39.97,03/31/2018,Phase 2,ARNA,1Q 2018;,Etrasimod
33.10,03/31/2018,Phase 3,BHVN,1Q 2018;,Rimegepant
1.62,03/31/2018,Phase 2,BPTH,Early 2018;,Prexigebersen
6.55,03/31/2018,Phase 2,CDTX,1Q 2018;,Rezafungin (CD101) IV - STRIVE
6.08,03/31/2018,Phase 3,CLSD,1Q 2018;,Suprachoroidal CLS-TA - PEACHTREE
26.18,03/31/2018,Phase 3,DERM,1Q 2018;,Olumacostat glasaretil (DRM01)
0.26,03/31/2018,Phase 3,EARS,1Q 2018 - likely February;,Keyzilen (AM-101) - TACTT3
15.72,03/31/2018,Phase 3,EDGE,1Q 2018;,EG-1962
78.90,03/31/2018,Phase 3,ESPR,March 2018;,Bempedoic acid - CLEAR LDL-C Lowering Program 1002-048
78.90,03/31/2018,Phase 2,ESPR,March 2018;,Bempedoic Acid - 1002-039
4.16,03/31/2018,Phase 2,FLKS,1Q 2018;,FLX-787 (Aust)
2.23,03/31/2018,Phase 2,GERN,1Q 2018;,Imetelstat - IMbarkStudy
80.91,03/31/2018,Phase 3,GILD,1Q 2018;,Bictegravir/F/TAF
80.91,03/31/2018,Phase 3,GILD,1Q 2018;,GS-5745
80.91,03/31/2018,Phase 2,GILD,1Q 2018;,GS-9674
80.91,03/31/2018,Phase 2,GILD,1Q 2018;,Entospletinib
24.11,03/31/2018,Phase 2,GTHX,March 2018;,Trilaciclib
115.31,03/31/2018,Phase 3,GWPH,1Q 2018;,Epidiolex
115.31,03/31/2018,Phase 2,GWPH,1Q 2018;,GWP42006 (CBDV)
11.19,03/31/2018,Phase 3,IMGN,1Q 2018;,Mirvetuximab soravtansine - FORWARD I
9.70,03/31/2018,Phase 2,IMRN,1Q 2018;,IMM-124E
11.21,03/31/2018,Phase 1,MBIO,Early 2018;,MB-102
