price,drug,ticker,date_text,end_date,stage
10.98,Aironite - INDIE,SVRA,,03/11/2018,Phase 2
11.26,SYNB1020,SYBX,"March 11-14, 2018;",03/11/2018,Phase 1
8.83,AEB1102,AGLE,"March 12, 2018;",03/12/2018,Phase 1/2
5.20,Galinpepimut-S,SLS,,03/19/2018,Phase 2
34.07,UCART19 - CALM,CLLS,,03/21/2018,Phase 1
34.07,UCART19 (PALL),CLLS,,03/21/2018,Phase 1
11.24,Mirvetuximab soravtansine - FORWARD II,IMGN,"March 24-27, 2018;",03/24/2018,Phase 1b
191.10,BLINCYTO,AMGN,,03/29/2018,PDUFA
1.75,NasoVAX,ALT,1Q 2018;,03/31/2018,Phase 1/2
116.87,ANB020,ANAB,March 2018;,03/31/2018,Phase 2a
2.64,Sollpura - RESULT,ANTH,March 2018;,03/31/2018,Phase 3
47.80,AM0010 (PEG-IL-10),ARMO,Early 2018;,03/31/2018,Phase 3
42.27,Etrasimod,ARNA,1Q 2018;,03/31/2018,Phase 2
30.50,Rimegepant,BHVN,1Q 2018;,03/31/2018,Phase 3
1.81,Prexigebersen,BPTH,Early 2018;,03/31/2018,Phase 2
7.95,Rezafungin (CD101) IV - STRIVE,CDTX,1Q 2018;,03/31/2018,Phase 2
0.27,Keyzilen (AM-101) - TACTT3,EARS,1Q 2018;,03/31/2018,Phase 3
75.26,Bempedoic Acid - 1002-039,ESPR,March 2018;,03/31/2018,Phase 2
5.07,FLX-787 (Aust),FLKS,March 2018;,03/31/2018,Phase 2
2.80,Imetelstat - IMbarkStudy,GERN,1Q 2018;,03/31/2018,Phase 2
80.72,GS-5745,GILD,1Q 2018;,03/31/2018,Phase 3
80.72,GS-9674,GILD,1Q 2018;,03/31/2018,Phase 2
80.72,Entospletinib,GILD,1Q 2018;,03/31/2018,Phase 2
117.04,Epidiolex,GWPH,1Q 2018;,03/31/2018,Phase 3
117.04,GWP42006 (CBDV),GWPH,1Q 2018;,03/31/2018,Phase 2
11.24,Mirvetuximab soravtansine - FORWARD I,IMGN,1Q 2018;,03/31/2018,Phase 3
11.45,MB-102,MBIO,Early 2018;,03/31/2018,Phase 1
11.45,MB-101,MBIO,Early 2018;,03/31/2018,Phase 1
0.69,OPRX-106,PLX,March 2018;,03/31/2018,Phase 2
23.08,PTG-100,PTGX,Early 2018;,03/31/2018,Phase 2b
4.12,PTI-428 + Kalydeco,PTI,1Q 2018;,03/31/2018,Phase 1
22.15,Bardoxolone methyl - LARIAT,RETA,1Q 2018;,03/31/2018,Phase 2
4.30,RXI-109-1501,RXII,1Q 2018;,03/31/2018,Phase 1/2
5.20,NeuVax in combination with Herceptin,SLS,1Q 2018;,03/31/2018,Phase 2b
2.14,Topsalysin (PRX302),SPHS,Late-1Q 2018;,03/31/2018,Phase 2
68.12,Niraparib - (QUADRA trial),TSRO,1Q 2018;,03/31/2018,Phase 2
6.42,TTP399,VTVT,Early 2018;,03/31/2018,Phase 1/2
55.14,Keytruda,MRK,,04/03/2018,PDUFA priority review
62.12,Rucaparib ARIEL3,CLVS,,04/06/2018,PDUFA priority review
31.90,EXPAREL,PCRX,,04/06/2018,PDUFA
82.76,AIN457 (Cosentyx),NVS,"April 7-10, 2018;",04/09/2018,Phase 3
9.75,Pegylated Interferon Lambda (LIMT HDV),EIGR,EASL 2018.;,04/11/2018,Phase 2
11.07,SEL-212,SELB,1H April 2018;,04/13/2018,Phase 2
9.75,Lonafarnib - LOWR HDV,EIGR,,04/14/2018,Phase 2
5.14,GR-MD-02,GALT,,04/14/2018,Phase 2b
67.92,CM-214 – Opdivo + Yervoy,BMY,,04/16/2018,PDUFA priority review
53.80,KRN23 Burosumab,RARE,,04/17/2018,PDUFA priority review
4.50,Fostamatinib,RIGL,,04/17/2018,PDUFA
117.04,Epidiolex,GWPH,,04/19/2018,PDUFA priority review
78.60,ARGX-113,ARGX,"AAN Meeting (April 21-27, 2018);",04/21/2018,Phase 2
12.51,MN-166,MNOV,,04/27/2018,Phase 2
92.43,Elagolix,NBIX,,04/27/2018,PDUFA priority review
16.45,Lubiprostone,MNK,,04/28/2018,PDUFA
2.69,OpRegen,BTX,,04/29/2018,Phase 1/2
191.10,KYPROLIS (ENDEAVOR),AMGN,,04/30/2018,PDUFA
62.12,Rucaparib - TRITON2,CLVS,Fall 2018;,04/30/2018,Phase 2
17.20,EG-1962,EDGE,April 2018;,04/30/2018,Phase 3
16.86,Selinexor - STORM,KPTI,April 2018;,04/30/2018,Phase 2b
5.89,Lefamulin - LEAP 2,NBRV,Spring 2018;,04/30/2018,Phase 3
82.76,Kymriah (CTL019 )- JULIET,NVS,,04/30/2018,PDUFA priority review
8.10,Azedra,PGNX,,04/30/2018,PDUFA priority review
4.50,Fostamatinib,RIGL,April 2018;,04/30/2018,Phase 2
16.60,RPL554,VRNA,Early 2Q 2018;,04/30/2018,Phase 2b
6.42,Azeliragon - STEADFAST,VTVT,April 2018;,04/30/2018,Phase 3
57.19,ADCETRIS  in combination with chemotherapy ECHELON-1,SGEN,,05/01/2018,PDUFA priority review
38.43,Andexanet alfa,PTLA,,05/04/2018,PDUFA
1.58,LPCN 1021,LPCN,,05/08/2018,PDUFA
19.44,Volanesorsen - APPROACH,AKCA,"Adcom May 10; PDUFA August 30, 2018.;",05/10/2018,PDUFA
15.38,Plenvu (NER1006),VRX,,05/13/2018,PDUFA
33.79,Tagrisso - FLAURA,AZN,Estimate mid-2Q 2018;,05/15/2018,PDUFA priority review
191.10,Erenumab,AMGN,,05/17/2018,PDUFA
82.76,Erenumab,NVS,,05/17/2018,PDUFA
29.62,Avatrombopag,DOVA,,05/21/2018,PDUFA priority review
