date,drug,ticker,stage
11/19/2017,SL-701,STML,Phase 2
11/30/2017,Viaskin Peanut (REALISE),DBVT,Phase 3
11/30/2017,AM-111 HEALOS,EARS,Phase 3
12/02/2017,Repatha,AMGN,PDUFA
12/03/2017,MYL-1401O - trastuzumab biosimilar,MYL,PDUFA
12/04/2017,Larotrectinib (LOXO-101),LOXO,Phase 2
12/05/2017,Dolutegravir + rilpivirine:,GSK,PDUFA priority review
12/05/2017,SACTUZUMAB GOVITECAN (IMMU-132),IMMU,Phase 3
12/05/2017,Rilpivirine and Dolutegravir,JNJ,PDUFA priority review
12/05/2017,Semaglutide,NVO,PDUFA
12/07/2017,(Tucatinib ONT-380) and T-DM1,CASC,Phase 1b
12/09/2017,AFM13 with Keytruda,AFMD,Phase 1b
12/09/2017,Coversin,AKTX,Phase 2
12/09/2017,ARGX-110,ARGX,Phase 2
12/09/2017,ARGX-110,ARGX,Phase 1/2
12/09/2017,BPX-501,BLCM,Phase 1/2
12/09/2017,bb2121,BLUE,Phase 1
12/09/2017,CB 2679d/ ISU304,CBIO,Phase 1/2
12/09/2017,JCAR017,CELG,Phase 1/2
12/09/2017,CC-122,CELG,Phase 1/2
12/09/2017,UCART19 (PALL),CLLS,Phase 1
12/09/2017,G100,IMDZ,Phase 2
12/09/2017,Flotetuzumab,MGNX,Phase 1
12/09/2017,SB-525 cDNA gene therapy,SGMO,Phase 1/2
12/09/2017,SL-401,STML,Phase 2
12/09/2017,Sotatercept,XLRN,Phase 2
12/10/2017,AG-348,AGIO,Phase 2
12/10/2017,Actimab-A,ATNM,Phase 2
12/10/2017,LentiGlobin - HGB-206,BLUE,Phase 1/2
12/10/2017,Firdapse,CPRX,Phase 3
12/10/2017,CAEL‐101,FBIO,Phase 1/2
12/10/2017,KD025,KDMN,Phase 2
12/10/2017,Tipifarnib,KURA,Phase 2
12/10/2017,Tipifarnib,KURA,Phase 2
12/10/2017,TGR-1202,TGTX,Phase 1/2
12/11/2017,Ivosidenib,AGIO,Phase 1
12/11/2017,Ivosidenib,AGIO,Phase 1
12/11/2017,ALXN1210,ALXN,Phase 1/2
12/11/2017,BLU-285,BPMC,Phase 1/2
12/11/2017,bb2121,CELG,Phase 1
12/11/2017,ProTmune - PROTECT,FATE,Phase 1/2
12/11/2017,GBT440 HOPE-KIDS 1,GBT,Phase 2a
12/11/2017,Imetelstat - IMerge Study,GERN,Phase 2/3
12/11/2017,GMI-1271,GLYC,Phase 1/2
12/11/2017,JCAR017,JUNO,Phase 1/2
12/11/2017,TTI-621,TRIL,Phase 1
12/12/2017,SL-401,STML,Phase 2
12/12/2017,SL-401,STML,Phase 2
12/24/2017,A-101,ACRS,PDUFA
12/26/2017,Twirla,AGRX,PDUFA
12/26/2017,Twirla,CORI,PDUFA
12/27/2017,Luminesse,VRX,PDUFA
12/30/2017,Macimorelin Acetate - Macrilen,AEZS,PDUFA
12/31/2017,Risankizumab,ABBV,Phase 2b
12/31/2017,CRS-207 with pembrolizumab,ADRO,Phase 2
12/31/2017,RDX7675,ARDX,Phase 2
12/31/2017,AST-OPC1 SCiSTAR,AST,Phase 1/2
12/31/2017,Oraxol,ATNX,Phase 3
12/31/2017,Durvalumab +/- tremelimumab (ARCTIC),AZN,Phase 3
12/31/2017,BAN2401 (Aβ mAb),BIIB,Phase 2
12/31/2017,BL-8040 in combination with KEYTRUDA - COMBAT trial,BLRX,Phase 2
12/31/2017,CM-459 – Opdivo,BMY,Phase 3
12/31/2017,CM-511 – Opdivo + Yervoy,BMY,Phase 3
12/31/2017,BP-1001,BPTH,Phase 2
12/31/2017,AST-OPC1 - SCiStar,BTX,Phase 1/2
12/31/2017,Plinabulin (Trial 105),BYSI,Phase 2/3
12/31/2017,CB-839 with paclitaxel,CALA,Phase 2
12/31/2017,REVLIMID - RELEVANCE,CELG,Phase 3
12/31/2017,OTEZLA,CELG,Phase 2
12/31/2017,GED-0301,CELG,Phase 2
12/31/2017,Taksta - Fusidic acid,CEMP,Phase 2/3
12/31/2017,CLR 131,CLRB,Phase 2
12/31/2017,Neutrolin - LOCK-IT 100,CRMD,Phase 3
12/31/2017,Tirasemtiv - VITALITY,CYTK,Phase 3
12/31/2017,Melphalan Hepatic Delivery System (Melphalan HDS),DCTH,Phase 3
12/31/2017,EG-1962,EDGE,Phase 3
12/31/2017,Egalet-002,EGLT,Phase 3
12/31/2017,GR-MD-02,GALT,Phase 2b
12/31/2017,GS-9674,GILD,Phase 2
12/31/2017,anti-SAP mAb,GSK,Phase 2b
12/31/2017,GSK 166,GSK,Phase 2b
12/31/2017,GSK 165,GSK,Phase 2
12/31/2017,IONIS-HTT Rx,IONS,Phase 1/2
12/31/2017,IW-1973,IRWD,Phase 2a
12/31/2017,IW-1973,IRWD,Phase 2
12/31/2017,INVELTYS,KALA,Phase 3
12/31/2017,INVELTYS,KALA,Phase 3
12/31/2017,Flortaucipir F 18 (Tau imaging agent),LLY,Phase 3
12/31/2017,Alimta + Keytruda (MK-3475-189/KEYNOTE-189),LLY,Phase 3
12/31/2017,MVT-1075,MBVX,Phase 1
12/31/2017,MVT-5873,MBVX,Phase 1
12/31/2017,MGL-3196,MDGL,Phase 2
12/31/2017,(MK-3475-189/KEYNOTE-189),MRK,Phase 3
12/31/2017,Ertugliflozin,MRK,PDUFA
12/31/2017,XMT1522,MRSN,Phase 1
12/31/2017,Inhaled Amikacin Solution (BAY41-6551T),NKTR,Phase 3
12/31/2017,Indoximod + gemcitabine and nab-paclitaxel,NLNK,Phase 2
12/31/2017,NanoFlu vaccine,NVAX,Phase 1/2
12/31/2017,LEE011: MONALEESA-3,NVS,Phase 3
12/31/2017,OCR-002,OCRX,Phase 2a
12/31/2017,AG013,OGEN,Phase 2
12/31/2017,Neratinib monotherapy with high dose loperamide prophylaxis - CONTROL,PBYI,Phase 2
12/31/2017,Xeljanz,PFE,Phase 3
12/31/2017,Ertugliflozin,PFE,Phase 3
12/31/2017,BOSULIF,PFE,PDUFA priority review
12/31/2017,Zepsyre(PM1183),PHMMF,Phase 3
12/31/2017,PTI-428,PTI,Phase 2
12/31/2017,RA101495,RARX,Phase 2
12/31/2017,Elacestrant,RDUS,Phase 2b
12/31/2017,EYLEA + nesvacumab,REGN,Phase 2
12/31/2017,EYLEA + nesvacumab,REGN,Phase 2
12/31/2017,Omaveloxolone - REVEAL,RETA,Phase 1/2
12/31/2017,RG-012,RGLS,Phase 1/2
12/31/2017,RGX-501,RGNX,Phase 1/2
12/31/2017,Supinoxin,RNN,Phase 2a
12/31/2017,RX-3117,RNN,Phase 2
12/31/2017,Archexin,RNN,Phase 2a
12/31/2017,RT002 - SAKURA 2,RVNC,Phase 2
12/31/2017,RT002,RVNC,Phase 2
12/31/2017,RT002 - SAKURA 1,RVNC,Phase 3
12/31/2017,RXI-109-1402,RXII,Phase 2
12/31/2017,Samcyprone - RXI-SCP-1502,RXII,Phase 2
12/31/2017,SAGE-217,SAGE,Phase 2
12/31/2017,SAGE-217,SAGE,Phase 2
12/31/2017,TRC105,TCON,Phase 2
12/31/2017,VK5211,VKTX,Phase 2
12/31/2017,HETLIOZ (tasimelteon),VNDA,Phase 2
12/31/2017,SAN-300,VRX,Phase 2
12/31/2017,Xilonix,XBIT,Phase 2
01/07/2018,RESOLVE steroid-releasing implant,XENT,PDUFA
01/08/2018,Ubenimex - LIBERTY,EIGR,Phase 2
01/10/2018,AT132 - ASPIRO,BOLD,Phase 1/2
01/10/2018,Abemaciclib - MONARCH 1 and 2,LLY,PDUFA priority review
01/10/2018,LPCN 1021,LPCN,PDUFA
01/12/2018,Luxturna (voretigene neparvovec),ONCE,PDUFA priority review
01/15/2018,AXS-02 CREATE-1,AXSM,Phase 3
01/15/2018,AXS-02 COAST-1,AXSM,Phase 3
01/24/2018,Trulance (plecanatide),SGYP,PDUFA
01/26/2018,Lutathera,AAAP,PDUFA
01/26/2018,Linhaliq (Pulmaquin),ARDM,PDUFA priority review
01/28/2018,Lubiprostone,SCMP,PDUFA
01/31/2018,Intepirdine,AXON,Phase 2
01/31/2018,Intepirdine - HEADWAY-DLB,AXON,Phase 2b
01/31/2018,Nelotanserin,AXON,Phase 2
01/31/2018,KD025,KDMN,Phase 2
01/31/2018,Talazoparib,PFE,Phase 3
01/31/2018,ACE-083,XLRN,Phase 2
02/02/2018,Feraheme,AMAG,PDUFA
02/02/2018,Andexanet alfa,PTLA,PDUFA
02/03/2018,XGEVA,AMGN,PDUFA
02/12/2018,Bictegravir/F/TAF,GILD,PDUFA priority review
02/14/2018,Makena - auto injector,AMAG,PDUFA
02/14/2018,Makena - auto injector,ATRS,PDUFA
02/14/2018,EXPAREL,PCRX,PDUFA
02/15/2018,Cabozantinib - CABOSUN,EXEL,PDUFA priority review
02/15/2018,Tipifarnib,KURA,Phase 2
02/17/2018,Vitaros,APRI,PDUFA
02/23/2018,KP201/APAP,KMPH,PDUFA
02/28/2018,Rhopressa,AERI,PDUFA
02/28/2018,Lynparza,AZN,PDUFA priority review
02/28/2018,LJPC-501,LJPC,PDUFA priority review
02/28/2018,MGL-3196,MDGL,Phase 2
02/28/2018,Lynparza,MRK,PDUFA priority review
02/28/2018,Ganaxolone,MRNS,Phase 2
02/28/2018,IV Rigosertib - INSPIRE,ONTX,Phase 3
02/28/2018,ZTlido (lidocaine patch 1.8%),SRNE,PDUFA
