date,drug,stage,ticker
12/03/2017,ZX008 - (Study 1),Phase 3,ZGNX
12/04/2017,Larotrectinib (LOXO-101),Phase 2,LOXO
12/05/2017,SACTUZUMAB GOVITECAN (IMMU-132),Phase 3,IMMU
12/05/2017,Rilpivirine and Dolutegravir,PDUFA priority review,JNJ
12/05/2017,Semaglutide,PDUFA,NVO
12/07/2017,(Tucatinib ONT-380) and T-DM1,Phase 1b,CASC
12/09/2017,AFM13 with Keytruda,Phase 1b,AFMD
12/09/2017,Coversin,Phase 2,AKTX
12/09/2017,ARGX-110,Phase 2,ARGX
12/09/2017,ARGX-110,Phase 1/2,ARGX
12/09/2017,BPX-501,Phase 1/2,BLCM
12/09/2017,CB 2679d/ ISU304,Phase 1/2,CBIO
12/09/2017,JCAR017,Phase 1/2,CELG
12/09/2017,UCART19 (PALL),Phase 1,CLLS
12/09/2017,Flotetuzumab,Phase 1,MGNX
12/09/2017,SL-401,Phase 2,STML
12/09/2017,Sotatercept,Phase 2,XLRN
12/10/2017,AG-348,Phase 2,AGIO
12/10/2017,Actimab-A,Phase 2,ATNM
12/10/2017,LentiGlobin - HGB-206,Phase 1/2,BLUE
12/10/2017,CC-122,Phase 1/2,CELG
12/10/2017,CAEL‐101,Phase 1/2,FBIO
12/10/2017,G100,Phase 2,IMDZ
12/10/2017,KD025,Phase 2,KDMN
12/10/2017,Tipifarnib,Phase 2,KURA
12/10/2017,Tipifarnib,Phase 2,KURA
12/10/2017,SL-401,Phase 2,STML
12/10/2017,SL-401,Phase 2,STML
12/10/2017,TGR-1202,Phase 1/2,TGTX
12/11/2017,Ivosidenib,Phase 1,AGIO
12/11/2017,Ivosidenib,Phase 1,AGIO
12/11/2017,ALXN1210,Phase 1/2,ALXN
12/11/2017,bb2121,Phase 1,BLUE
12/11/2017,BLU-285,Phase 1/2,BPMC
12/11/2017,bb2121,Phase 1,CELG
12/11/2017,ProTmune - PROTECT,Phase 1/2,FATE
12/11/2017,GBT440 HOPE-KIDS 1,Phase 2a,GBT
12/11/2017,Imetelstat - IMerge Study,Phase 2/3,GERN
12/11/2017,GMI-1271,Phase 1/2,GLYC
12/11/2017,JCAR017,Phase 1/2,JUNO
12/11/2017,SPK-8011,Phase 1/2,ONCE
12/11/2017,TTI-621,Phase 1,TRIL
12/12/2017,Venclexta (MURANO),Phase 3,ABBV
12/12/2017,DARZALEX (Daratumumab) - ALCYONE,Phase 3,JNJ
12/15/2017,GR-MD-02,Phase 2b,GALT
12/24/2017,A-101,PDUFA,ACRS
12/26/2017,Twirla,PDUFA,AGRX
12/26/2017,Twirla,PDUFA,CORI
12/27/2017,Luminesse,PDUFA,VRX
12/30/2017,Macimorelin Acetate - Macrilen,PDUFA,AEZS
12/31/2017,Risankizumab,Phase 2b,ABBV
12/31/2017,CRS-207 with pembrolizumab,Phase 2,ADRO
12/31/2017,BAN2401 (Aβ mAb),Phase 2,BIIB
