ticker,date,stage,drug
MYL,10/09/2017,PDUFA,MYL-1401H
ACRX,10/12/2017,PDUFA,ARX-04 (SAP303)
ONCE,10/12/2017,PDUFA priority review,Voretigene neparvovec (SPK-RPE65)
AERI,10/13/2017,PDUFA,Rhopressa
FENC,10/14/2017,Phase 3,Sodium Thiosulphate
JNJ,10/15/2017,PDUFA,STELARA (USTEKINUMAB)
ATRS,10/17/2017,PDUFA,Makena - auto injector
LOXO,10/18/2017,Phase 1,LOXO-292
ATRS,10/20/2017,PDUFA,VIBEX QuickShot
EIGR,10/20/2017,Phase 2,Pegylated Interferon Lambda (LIMT HDV)
JNJ,10/21/2017,PDUFA,SIMPONI ARIA
JNJ,10/21/2017,PDUFA,SIMPONI ARIA
ALXN,10/23/2017,PDUFA,Eculizumab
AGEN,10/24/2017,PDUFA,Shingrix
GSK,10/24/2017,PDUFA,Shingrix
PTCT,10/24/2017,PDUFA,Ataluren
TSRO,10/25/2017,PDUFA,Rolapitant - intravenous (IV)
JNJ,10/28/2017,PDUFA priority review,XARELTO (rivaroxaban)
MNOV,10/28/2017,Phase 2b,MN-166
EGRX,10/30/2017,PDUFA,Ready-to-dilute (RTD) Pemetrexed Injection
DBVT,10/31/2017,Phase 3,Viaskin Peanut (PEPITES)
KERX,11/06/2017,PDUFA,Auryxia
PFE,11/07/2017,PDUFA,Staphylococcus aureus vaccine
BMY,11/09/2017,PDUFA priority review,Sprycel (dasatinib)
DVAX,11/10/2017,PDUFA,HEPLISAV-B
CALA,11/11/2017,Phase 1/2,CB-839 + nivolumab
HRTX,11/12/2017,PDUFA,CINVANTI (HTX-019)
ARDX,11/15/2017,Phase 3,Tenapanor (T3MPO-2)
RARE,11/16/2017,PDUFA priority review,rhGUS
GILD,11/29/2017,PDUFA priority review,Axicabtagene ciloleucel (KTE-C19) - ZUMA-1
CLDX,11/30/2017,Phase 2,"Glembatumumab vedotin, varlilumab, Opdivo or Keytruda"
AMGN,12/02/2017,PDUFA,Repatha
MYL,12/03/2017,PDUFA,MYL-1401O - trastuzumab biosimilar
GSK,12/05/2017,PDUFA priority review,Dolutegravir + rilpivirine:
JNJ,12/05/2017,PDUFA priority review,Rilpivirine and Dolutegravir
NVO,12/05/2017,PDUFA,Semaglutide
ARGX,12/09/2017,Phase 2,ARGX-110
ARGX,12/09/2017,Phase 1/2,ARGX-110
BLUE,12/09/2017,Phase 1/2,LentiGlobin - HGB-206
IMDZ,12/09/2017,Phase 2,G100
STML,12/12/2017,Phase 2,SL-401
STML,12/12/2017,Phase 2,SL-401
SGEN,12/16/2017,PDUFA priority review,ADCETRIS
ACRS,12/24/2017,PDUFA,A-101
AGRX,12/26/2017,PDUFA,Twirla
CORI,12/26/2017,PDUFA,Twirla
VRX,12/27/2017,PDUFA,Luminesse
AEZS,12/30/2017,PDUFA,Macimorelin Acetate - Macrilen
ABBV,12/31/2017,Phase 3,Risankizumab
ABBV,12/31/2017,Phase 3,Elagolix
ABBV,12/31/2017,Phase 2b,Risankizumab
ABBV,12/31/2017,Phase 2,Rova-T (TRINITY)
ADRO,12/31/2017,Phase 2,CRS-207 with pembrolizumab
AFMD,12/31/2017,Phase 1b,AFM13 with Keytruda
ALKS,12/31/2017,Phase 3,ALKS 8700
ANAB,12/31/2017,Phase 2,ANB020
ANAB,12/31/2017,Phase 2a,ANB020
ARDX,12/31/2017,Phase 2,RDX7675
ARGS,12/31/2017,Phase 2,rocapuldencel-T (AGS-003)
AST,12/31/2017,Phase 1/2,AST-OPC1 SCiSTAR
ATNM,12/31/2017,Phase 2,Actimab-A
ATNX,12/31/2017,Phase 3,Oraxol
AXON,12/31/2017,Phase 2b,Intepirdine - HEADWAY-DLB
AXON,12/31/2017,Phase 2,Nelotanserin
AZN,12/31/2017,Phase 3,Tralokinumab (STRATOS2)
AZN,12/31/2017,Phase 3,Moxetumomab
AZN,12/31/2017,Phase 3,Durvalumab +/- tremelimumab (ARCTIC)
BIIB,12/31/2017,Phase 2,BAN2401 (Aβ mAb)
BIIB,12/31/2017,Phase 2,BG00011 (STX-100)
BLRX,12/31/2017,Phase 2,BL-8040 in combination with KEYTRUDA - COMBAT trial
BMY,12/31/2017,Phase 3,CM-459 – Opdivo
BMY,12/31/2017,Phase 3,CM-511 – Opdivo + Yervoy
BMY,12/31/2017,Phase 3,CM-227 – Opdivo + Yervoy
BOLD,12/31/2017,Phase 1/2,AT342 - VALENS
BOLD,12/31/2017,Phase 1/2,AT132 - ASPIRO
BPTH,12/31/2017,Phase 2,BP-1001
BTX,12/31/2017,Phase 1/2,AST-OPC1 - SCiStar
BYSI,12/31/2017,Phase 2/3,Plinabulin (Trial 105)
CALA,12/31/2017,Phase 2,CB-839 with paclitaxel
CBIO,12/31/2017,Phase 1/2,CB 2679d/ ISU304
CDTX,12/31/2017,Phase 2,CD101 IV - STRIVE
CELG,12/31/2017,Phase 3,REVLIMID - RELEVANCE
CELG,12/31/2017,Phase 3,REVLIMID - AUGMENT NHL-007
CELG,12/31/2017,Phase 3,ABRAXANE - PANC-003 apact
CELG,12/31/2017,Phase 2,OTEZLA
CELG,12/31/2017,Phase 2,GED-0301
