stage,drug,ticker,date
Phase 3,Sodium Thiosulphate,FENC,10/14/2017
Phase 2,Sitravatinib plus nivolumab,MRTX,10/16/2017
Phase 1,LOXO-292,LOXO,10/18/2017
Phase 2,STARTRK-2 entrectinib,RXDX,10/18/2017
PDUFA,Shingrix,AGEN,10/20/2017
PDUFA,XYOSTED (testosterone enanthate),ATRS,10/20/2017
Phase 2,Pegylated Interferon Lambda (LIMT HDV),EIGR,10/20/2017
Phase 1,EDP-305,ENTA,10/20/2017
PDUFA,Shingrix,GSK,10/20/2017
PDUFA,SIMPONI ARIA,JNJ,10/21/2017
PDUFA,SIMPONI ARIA,JNJ,10/21/2017
PDUFA,Eculizumab,ALXN,10/23/2017
Phase 2,Obeticholic acid (OCA) AESOP,ICPT,10/23/2017
PDUFA,Ataluren,PTCT,10/24/2017
PDUFA,Rolapitant - intravenous (IV),TSRO,10/25/2017
Phase 2a,TG-1101 (ublituximab),TGTX,10/26/2017
Phase 3,Ozanimod - SUNBEAM,CELG,10/27/2017
Phase 3,Ozanimod - RADIANCE,CELG,10/27/2017
PDUFA priority review,XARELTO (rivaroxaban),JNJ,10/28/2017
Phase 2b,MN-166,MNOV,10/28/2017
PDUFA,Ready-to-dilute (RTD) Pemetrexed Injection,EGRX,10/30/2017
Phase 3,Viaskin Peanut (PEPITES),DBVT,10/31/2017
PDUFA,Xtampza ER (oxycodone),COLL,11/04/2017
PDUFA,Auryxia,KERX,11/06/2017
PDUFA,Staphylococcus aureus vaccine,PFE,11/07/2017
PDUFA priority review,Sprycel (dasatinib),BMY,11/09/2017
Phase 1,CA170,CRIS,11/09/2017
PDUFA,HEPLISAV-B,DVAX,11/10/2017
Phase 1,IPI-549 + Nivolumab,INFI,11/10/2017
Phase 2,LN-145,IOVA,11/10/2017
Phase 2,LN-144,IOVA,11/10/2017
Phase 1/2,CB-839 + nivolumab,CALA,11/11/2017
Phase 1b,Cabiralizumab (FPA008) and Opdivo (nivolumab),FPRX,11/11/2017
Phase 2,ImmunoPulse IL-12,ONCS,11/11/2017
PDUFA,CINVANTI (HTX-019),HRTX,11/12/2017
PDUFA priority review,rhGUS,RARE,11/16/2017
PDUFA priority review,Axicabtagene ciloleucel (KTE-C19) - ZUMA-1,GILD,11/29/2017
Phase 2,"Glembatumumab vedotin, varlilumab, Opdivo or Keytruda",CLDX,11/30/2017
Phase 3,Viaskin Peanut (REALISE),DBVT,11/30/2017
Phase 3,AM-111 HEALOS,EARS,11/30/2017
PDUFA,Repatha,AMGN,12/02/2017
PDUFA,MYL-1401O - trastuzumab biosimilar,MYL,12/03/2017
PDUFA priority review,Dolutegravir + rilpivirine:,GSK,12/05/2017
PDUFA priority review,Rilpivirine and Dolutegravir,JNJ,12/05/2017
PDUFA,Semaglutide,NVO,12/05/2017
Phase 2,Coversin,AKTX,12/09/2017
Phase 2,ARGX-110,ARGX,12/09/2017
Phase 1/2,ARGX-110,ARGX,12/09/2017
Phase 1/2,LentiGlobin - HGB-206,BLUE,12/09/2017
Phase 2,G100,IMDZ,12/09/2017
PDUFA,LPCN 1021,LPCN,12/10/2017
Phase 2,SL-401,STML,12/12/2017
Phase 2,SL-401,STML,12/12/2017
PDUFA priority review,ADCETRIS,SGEN,12/16/2017
PDUFA,A-101,ACRS,12/24/2017
PDUFA,Twirla,AGRX,12/26/2017
PDUFA,Twirla,CORI,12/26/2017
PDUFA,Luminesse,VRX,12/27/2017
